Item Code,Description,Unit,Quantity,Unit Material Cost,Unit Labor Cost,Total Material Cost,Total Labor Cost,Total Amount
MAT-ROOF-TILE,CPAC Monier Concrete Roof Tile (กระเบื้องหลังคาคอนกรีตซีแพคโมเนีย),m2,147.340,260.00,85.00,38308.35,12523.88,50832.23
MAT-ROOF-RIDGE,Ridge & Hip Cap Tile (ครอบสันหลังคาและตะเข้สัน),m,34.206,130.00,45.00,4446.72,1539.25,5985.97
MAT-FASCIA,Conwood Fascia Board (ไม้เชิงชายรอบอาคาร),m,45.200,95.00,35.00,4294.00,1582.00,5876.00
MAT-ROOF-INSUL,Aluminium Foil Thermal Insulation (แผ่นสะท้อนความร้อน),m2,147.340,48.00,16.00,7072.31,2357.44,9429.75
MAT-PIPE-PPR-25,"PPR Cold Water Pipe 25mm (1"") (ท่อน้ำดี PPR)",m,20.700,95.00,45.00,1966.50,931.50,2898.00
MAT-PIPE-PVC-BLUE-20,"PVC Pipe 3/4"" Class 8.5 Blue (ท่อน้ำดี PVC ฟ้า)",m,25.135,45.00,25.00,1131.09,628.38,1759.47
MAT-PIPE-PVC-GREY-100,"PVC Soil Pipe 4"" Class 8.5 (ท่อโสโครก PVC 4"")",m,25.917,185.00,75.00,4794.72,1943.81,6738.53
MAT-PIPE-PVC-GREY-50,"PVC Waste/Vent Pipe 2"" Class 8.5 (ท่อน้ำทิ้ง/อากาศ PVC 2"")",m,8.409,65.00,35.00,546.59,294.32,840.91
MAT-PIPE-FITTING,Plumbing Pipe Fittings & Valves (ข้อต่อและวาล์วประปา),item,34.000,45.00,20.00,1530.00,680.00,2210.00
MAT-CONDUIT-EMT-20,Electrical Conduit EMT 20mm (ท่อร้อยสายไฟ EMT),m,32.661,55.00,35.00,1796.35,1143.13,2939.49
MAT-CONDUIT-FITTING,Electrical Conduit Fittings & Boxes (กล่องและข้อต่อร้อยสาย),item,32.661,30.00,15.00,979.83,489.91,1469.74
MAT-WC-SET,Water Closet Ceramic Set (ชุดโถสุขภัณฑ์ประหยัดน้ำ),set,17.000,3800.00,650.00,64600.00,11050.00,75650.00
MAT-CONSUMER-UNIT,Consumer Unit 12-Circuits with RCBO (ตู้ควบคุมไฟฟ้า 12 ช่อง),set,10.000,3800.00,1200.00,38000.00,12000.00,50000.00
MAT-AC-WALL-18000,"Wall Mounted Inverter AC 18,000 BTU (แอร์ติดผนัง Inverter 18000 BTU)",set,8.000,18500.00,2500.00,148000.00,20000.00,168000.00
MAT-PIPE-REFRIGERANT,Insulated Copper Refrigerant Pipe (ท่อน้ำยาแอร์ทองแดงหุ้มฉนวน),m,8.550,320.00,120.00,2736.00,1026.00,3762.00
MAT-DUCT-EXHAUST,Flexible Aluminum Exhaust Duct (ท่อลมระบายอากาศ/ดูดควัน),m,2.000,280.00,90.00,560.00,180.00,740.00
MAT-EARTH-EXCAV,Excavation for Footings (งานดินขุดฐานราก),m3,67.345,0.00,99.00,0.00,6667.17,6667.17
MAT-CEIL-GYPSUM,Gypsum Board Ceiling 9mm with Concealed Grid (ฝ้าเพดานยิปซั่ม 9 มม. ฉาบเรียบ),m2,161.000,195.00,75.00,31395.00,12075.00,43470.00
MAT-CEIL-TBAR,Moisture Resistant Gypsum Ceiling 9mm with T-Bar Grid (ฝ้าเพดานทีบาร์ทนชื้น 9 มม.),m2,15.000,215.00,80.00,3225.00,1200.00,4425.00
MAT-CEIL-EAVES,Ventilated Fiber Cement Eaves Ceiling 4mm (ฝ้าเพดานชายคาระบายอากาศ 4 มม.),m2,48.000,185.00,75.00,8880.00,3600.00,12480.00
MAT-TILE-FLOOR,Ceramic Floor Tile (งานปูกระเบื้องพื้นเซรามิค),m2,110.000,280.00,150.00,30800.00,16500.00,47300.00
MAT-CONC-POLISH,Polished Concrete / Troweled Finish (ผิวคอนกรีตขัดเรียบ/ขัดมัน),m2,55.000,45.00,65.00,2475.00,3575.00,6050.00
MAT-SKIRTING,"Fiber Cement Skirting Board 4"" (บัวเชิงผนังไฟเบอร์ซีเมนต์ 4 นิ้ว)",m,123.000,65.00,35.00,7995.00,4305.00,12300.00
TOTAL,Project Grand Total,,,,,1155179.08,405908.54,1561087.62
